Threshold,precision_0,recall_0,f-score_0,Precision,Recall,F1.Score,accuracy,MCC,Algorithm
0.89,0.966899513,0.984976848,0.975809392,0.888829115,0.772126465,0.824044113,0.957481711,0.80403578,BERT
0.9,0.966799287,0.984976848,0.97575868,0.888741035,0.77142224,0.823621251,0.957390884,0.803579863,BERT
0.91,0.966598542,0.985081124,0.975710265,0.889114102,0.770013789,0.823095258,0.957299975,0.803010928,BERT
0.92,0.966601067,0.985185508,0.975763906,0.889676219,0.770013789,0.823383198,0.957390884,0.803347838,BERT
0.93,0.966405052,0.985394276,0.975769878,0.890568695,0.768605338,0.823107272,0.957390967,0.803089765,BERT
0.94,0.966233001,0.986333298,0.976146321,0.896503457,0.767196888,0.824996688,0.958026918,0.805596592,BERT
0.95,0.965751546,0.986750399,0.97610673,0.898731508,0.763675761,0.823984972,0.957935926,0.804783099,BERT
0.96,0.965468853,0.987167718,0.976168024,0.901230067,0.761563085,0.8238532,0.958026918,0.804921132,BERT
0.97,0.965278361,0.987480761,0.976225499,0.903186205,0.760154634,0.823930086,0.958117744,0.805182855,BERT
0.98,0.963636429,0.988315617,0.975793941,0.907552645,0.748182803,0.818681447,0.957299645,0.800437716,BERT
0.99,0.962311778,0.989567464,0.975724709,0.915603475,0.738333497,0.816008343,0.957117579,0.79883579,BERT
0.01,0.973992934,0.906110554,0.938341309,0.582978257,0.836146952,0.682855291,0.897069689,0.641922523,GRU
0.02,0.972166896,0.92593026,0.948244145,0.63116978,0.820668768,0.710540792,0.912330774,0.670313379,GRU
0.03,0.970438305,0.936362795,0.952922955,0.661501907,0.80730326,0.724593964,0.919689621,0.684785667,GRU
0.04,0.969772208,0.94178794,0.955425607,0.679478861,0.801679307,0.733018085,0.923687226,0.694013197,GRU
0.05,0.968885498,0.946378339,0.957371316,0.69483406,0.794651827,0.738930061,0.926776154,0.70055339,GRU
0.06,0.968368859,0.94982062,0.958899911,0.706971383,0.7904314,0.744135852,0.9292288,0.706349954,GRU
0.07,0.967636016,0.952846128,0.960090901,0.718312359,0.784807446,0.747908861,0.931136653,0.710635622,GRU
0.08,0.966992108,0.955140837,0.960951582,0.726363655,0.779887718,0.750223437,0.932498803,0.713258076,GRU
